Местное время в Никеле,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss,grad
5.3,755.8,764.4,,84.0,"Ветер, дующий с северо-северо-востока",1,1.0,,40%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,2.8,,,,,,,,22
9.9,755.8,764.2,,65.0,"Ветер, дующий с юго-юго-востока",3,6.0,,70 – 80%., ,,,,13.5,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,3.5,Осадков нет,12.0,,,,,,112
12.7,756.7,765.0,,58.0,"Ветер, дующий с юго-запада",2,3.0,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,4.6,,,,,,,,225
5.3,757.8,766.4,,80.0,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,50.0,2.0,Осадков нет,12.0,Поверхность почвы влажная.,0.0,,,,0
5.5,758.3,766.9,,74.0,"Ветер, дующий с западо-юго-запада",1,3.0,10.0,Облаков нет., ,,,,,,,,,,50.0,1.2,,,,,,,,248
6.2,758.8,767.4,,71.0,"Ветер, дующий с юго-юго-востока",5,9.0,,20–30%., ,,,,9.2,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.3,Осадков нет,12.0,,,,,,112
8.5,759.5,768.1,,64.0,"Ветер, дующий с юго-юго-запада",3,5.0,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","10%  или менее, но не 0","2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,1.9,,,,,,,,202
3.6,760.6,769.3,,90.0,"Ветер, дующий с юга",1,1.0,,"90  или более, но не 100%","Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ",Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,1.7,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,2.1,Осадков нет,12.0,Поверхность почвы влажная.,0.0,,,,180
4.6,760.3,769.0,,89.0,"Ветер, дующий с юго-востока",1,1.0,,70 – 80%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.0,,,,,,,,135
6.5,760.0,768.6,,83.0,"Ветер, дующий с северо-северо-запада",1,2.0,,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,9.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.8,2.0,12.0,,,,,,318
8.2,759.6,768.1,,79.0,"Ветер, дующий с севера",4,5.0,,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,4.7,,,,,,,,360
7.0,759.7,768.2,,79.0,"Ветер, дующий с западо-юго-запада",1,2.0,,"90  или более, но не 100%", ,,,6.4,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.6,Осадков нет,12.0,Поверхность почвы влажная.,4.0,,,,248
6.8,758.8,767.4,,82.0,"Ветер, дующий с северо-северо-запада",2,4.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,3.9,,,,,,,,318
7.1,758.0,766.6,,73.0,"Ветер, дующий с северо-северо-запада",2,4.0,11.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,9.8,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,2.6,0.5,12.0,,,,,,318
8.4,755.5,763.9,,80.0,"Ветер, дующий с севера",6,10.0,15.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.2,,,,,,,,360
8.3,752.8,761.2,,92.0,"Штиль, безветрие",0,,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,8.2,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.1,14.0,12.0,Поверхность почвы влажная.,8.0,,,,0
9.2,751.8,760.2,,86.0,"Ветер, дующий с востоко-северо-востока",3,6.0,10.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,10.0,6.9,,,,,,,,68
12.8,751.5,759.8,,70.0,"Ветер, дующий с юга",4,6.0,,100%., ,,,,14.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,7.5,Осадков нет,12.0,,,,,,180
14.1,753.4,761.6,,62.0,"Ветер, дующий с юго-запада",2,4.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,6.9,,,,,,,,225
9.7,755.4,763.8,,72.0,"Ветер, дующий с юга",3,7.0,,"90  или более, но не 100%", ,,,5.0,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,4.9,Осадков нет,12.0,Поверхность почвы влажная.,3.0,,,,180
7.6,757.6,766.1,,76.0,"Ветер, дующий с юго-запада",2,4.0,,Облаков нет., ,,,,,,,,,,50.0,3.6,,,,,,,,225
7.7,759.1,767.6,,78.0,"Ветер, дующий с юга",2,4.0,,Облаков нет., ,,,,9.7,,,,,,50.0,4.1,Следы осадков,12.0,,,,,,180
8.7,758.4,766.9,,81.0,"Ветер, дующий с востоко-северо-востока",1,2.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,5.6,,,,,,,,68
7.5,755.7,764.2,,90.0,"Ветер, дующий с северо-запада",1,2.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,7.0,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.9,2.0,12.0,Поверхность почвы влажная.,6.0,,,,298
7.4,753.0,761.5,,78.0,"Ветер, дующий с западо-северо-запада",3,5.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,3.7,,,,,,,,292
7.2,750.7,759.1,,84.0,"Ветер, дующий с северо-запада",4,6.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,8.7,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,4.6,1.0,12.0,,,,,,298
7.5,746.9,755.3,,74.0,"Ветер, дующий с севера",5,9.0,11.0,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.1,,,,,,,,360
8.7,742.0,750.3,,88.0,"Ветер, дующий с северо-северо-востока",5,8.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,8.7,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,6.8,Следы осадков,12.0,Поверхность почвы влажная.,9.0,,,,22
9.7,742.9,751.3,,88.0,"Ветер, дующий с востока",1,2.0,,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,7.8,,,,,,,,90
10.9,746.6,754.9,,82.0,"Ветер, дующий с юго-востока",4,6.0,,100%., ,,,,12.2,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,7.9,Следы осадков,12.0,,,,,,135
11.8,749.2,757.5,,76.0,"Штиль, безветрие",0,,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,7.6,,,,,,,,0
9.4,750.3,758.7,,90.0,"Ветер, дующий с юго-юго-запада",1,2.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,7.8,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,300-600,,,4.0,7.9,0.8,12.0,Поверхность почвы влажная.,6.0,,,,202
10.3,751.2,759.6,,78.0,"Ветер, дующий с юга",2,4.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,6.5,,,,,,,,180
9.6,751.6,760.0,,76.0,"Ветер, дующий с юго-юго-востока",2,3.0,,40%., ,,,,13.9,"Слоисто-кучевые, образовавшиеся не из кучевых.","10%  или менее, но не 0",600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,5.6,Осадков нет,12.0,,,,,,112
13.1,752.2,760.5,,57.0,"Ветер, дующий с запада",1,3.0,,"10%  или менее, но не 0", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","10%  или менее, но не 0",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,4.7,,,,,,,,270
1.6,753.1,761.8,,85.0,"Штиль, безветрие",0,,,Облаков нет.,"Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ",Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,0.2,,,,,,,50.0,-0.6,Осадков нет,12.0,Поверхность почвы влажная.,-1.0,,,,0
1.4,753.6,762.3,,89.0,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,50.0,-0.3,,,,,,,,0
7.2,754.0,762.5,,66.0,"Ветер, дующий с востока",3,4.0,,70 – 80%., ,,,,9.3,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.1,Осадков нет,12.0,,,,,,90
8.7,754.6,763.1,,58.0,"Ветер, дующий с севера",2,4.0,,70 – 80%., ,,,,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,0.7,,,,,,,,360
4.3,755.0,763.6,,83.0,"Ветер, дующий с юго-запада",1,1.0,,70 – 80%., ,,,3.0,,"Слоисто-кучевые, образовавшиеся не из кучевых.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.7,Осадков нет,12.0,Поверхность почвы влажная.,1.0,,,,225
4.6,755.0,763.6,,83.0,"Ветер, дующий с западо-юго-запада",1,2.0,,100%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,2.0,,,,,,,,248
6.9,753.8,762.3,,75.0,"Ветер, дующий с северо-востока",3,4.0,,60%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,8.5,"Слоисто-кучевые, образовавшиеся не из кучевых.",60%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,2.8,Осадков нет,12.0,,,,,,45
8.0,752.4,760.9,,77.0,"Ветер, дующий с севера",4,7.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,4.2,,,,,,,,360
7.6,748.5,756.9,,90.0,"Ветер, дующий с севера",2,3.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,6.6,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,6.0,1.0,12.0,Поверхность почвы влажная.,5.0,,,,360
6.6,744.7,753.1,,85.0,"Ветер, дующий с востока",2,3.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,4.2,,,,,,,,90
7.5,742.0,750.3,,81.0,"Ветер, дующий с востоко-юго-востока",5,7.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,8.1,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,4.5,8.0,12.0,,,,,,112
8.0,741.0,749.3,,81.0,"Ветер, дующий с юго-востока",5,11.0,14.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,4.9,,,,,,,,135
6.6,741.9,750.3,,76.0,"Ветер, дующий с юго-востока",7,12.0,13.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,2.7,0.7,12.0,Поверхность почвы влажная.,4.0,,,,135
6.5,745.5,754.0,,69.0,"Ветер, дующий с юго-востока",7,11.0,12.0,40%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.2,,,,,,,,135
7.0,749.4,757.8,,67.0,"Ветер, дующий с юго-востока",4,7.0,,, ,,,,10.5,,,,,,,1.2,Осадков нет,12.0,,,,,,135
8.8,752.0,760.4,,63.0,"Ветер, дующий с запада",2,3.0,,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,2.0,,,,,,,,270
6.4,752.8,761.2,,80.0,"Ветер, дующий с западо-северо-запада",2,3.0,,"90  или более, но не 100%", ,,,5.4,,"Слоисто-кучевые, образовавшиеся не из кучевых.","90  или более, но не 100%",1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.1,Следы осадков,12.0,Поверхность почвы влажная.,6.0,,,,292
5.9,751.3,759.7,,83.0,"Ветер, дующий с северо-запада",2,3.0,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.2,,,,,,,,298
6.5,750.0,758.5,,74.0,"Ветер, дующий с западо-северо-запада",4,6.0,10.0,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,8.8,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,2.2,0.9,12.0,,,,,,292
8.3,748.7,757.1,,66.0,"Ветер, дующий с северо-северо-запада",4,7.0,,70 – 80%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",20.0,2.2,,,,,,,,318
5.9,747.2,755.7,,85.0,"Ветер, дующий с северо-северо-запада",2,2.0,,20–30%.,Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,5.8,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,3.6,7.0,12.0,Поверхность почвы влажная.,7.0,,,,318
6.9,745.9,754.3,,90.0,"Ветер, дующий с северо-запада",3,4.0,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,5.4,,,,,,,,298
10.2,745.9,754.2,,66.0,"Ветер, дующий с юго-юго-востока",4,7.0,,100%.,Ливневый(ые) дождь(и). ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,12.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,4.0,Следы осадков,12.0,,,,,,112
12.0,747.0,755.2,,49.0,"Ветер, дующий с юго-юго-запада",5,10.0,10.0,"90  или более, но не 100%", ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.4,,,,,,,,202
7.7,749.2,757.6,,62.0,"Ветер, дующий с юга",3,6.0,,20–30%., ,,,5.1,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,0.7,Осадков нет,12.0,Поверхность почвы влажная.,4.0,,,,180
5.9,749.9,758.4,,73.0,"Ветер, дующий с юго-востока",4,7.0,,40%., ,,,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,1.4,,,,,,,,135
7.0,750.2,758.6,,71.0,"Ветер, дующий с юго-востока",2,4.0,,100%., ,,,,9.3,"Слоисто-кучевые, образовавшиеся не из кучевых.",100%.,600-1000,,,50.0,2.0,Осадков нет,12.0,,,,,,135
7.8,749.5,757.9,,60.0,"Ветер, дующий с северо-северо-запада",2,3.0,,"90  или более, но не 100%", ,,,,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.","90  или более, но не 100%",600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,0.5,,,,,,,,318
6.1,748.0,756.4,,77.0,"Ветер, дующий с севера",3,5.0,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,5.4,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,50.0,2.4,3.0,12.0,Поверхность почвы влажная.,6.0,,,,360
6.4,745.7,754.1,,90.0,"Ветер, дующий с севера",4,8.0,10.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,20.0,4.8,,,,,,,,360
8.0,743.6,752.0,,84.0,"Ветер, дующий с востоко-северо-востока",4,7.0,13.0,100%.,Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,15.5,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",100%.,600-1000,,,4.0,5.5,7.0,12.0,,,,,,68
14.4,741.3,749.4,,61.0,"Штиль, безветрие",0,,,70 – 80%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",40%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",50.0,6.8,,,,,,,,0
11.5,739.7,748.0,,71.0,"Ветер, дующий с юго-юго-запада",3,5.0,,20–30%., ,,,9.6,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",50.0,6.4,Следы осадков,12.0,Поверхность почвы влажная.,8.0,,,,202
11.9,738.8,747.0,,70.0,"Ветер, дующий с юга",4,7.0,,20–30%.,Облака в целом рассеиваются или становятся менее развитыми. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевые, образовавшиеся не из кучевых.",20–30%.,600-1000,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",50.0,6.6,,,,,,,,180
